library_name,game,manufacturer,year,v1_slug,v2_name_observed,v2_candidates,v3_practice_identity,opdb_id,v1_playfield_700_exists,v2_playfield_700_exists,v3_playfield_700_exists,v1_rulesheet_exists,v2_rulesheet_exists,v3_rulesheet_exists,v1_playfield_700_name,v2_playfield_700_name,v3_playfield_700_name,v1_rulesheet_name,v2_rulesheet_name,v3_rulesheet_name,asset_playfield_local_legacy,asset_playfield_local_practice,match_confidence
The Avenue Cafe,King Kong,Stern,2025,stern--king-kong-myth-of-terror-island--2025,king-kong,king-kong,GEL0V,GEL0V-MyN8E,True,True,True,False,False,True,stern--king-kong-myth-of-terror-island--2025-playfield_700.webp,king-kong_700.webp,GEL0V-playfield_700.webp,stern--king-kong-myth-of-terror-island--2025-rulesheet.md,king-kong-rulesheet.md,GEL0V-rulesheet.md,,/pinball/images/playfields/GEL0V-playfield.jpg,high
The Avenue Cafe,Kiss,Stern,2015,stern--kiss--2015,kiss,kiss,G4qX5,G4qX5-Ml9jb,True,True,True,False,False,True,stern--kiss--2015-playfield_700.webp,kiss_700.webp,G4qX5-playfield_700.webp,stern--kiss--2015-rulesheet.md,kiss-rulesheet.md,G4qX5-rulesheet.md,,/pinball/images/playfields/G4qX5-playfield.jpg,high
The Avenue Cafe,Medieval Madness,Williams,1997,williams--medieval-madness--1997,medieval-madness,medieval-madness,G5pe4,G5pe4-MePZv,True,True,True,False,False,True,williams--medieval-madness--1997-playfield_700.webp,medieval-madness_700.webp,G5pe4-playfield_700.webp,williams--medieval-madness--1997-rulesheet.md,medieval-madness-rulesheet.md,G5pe4-rulesheet.md,,/pinball/images/playfields/G5pe4-playfield.jpg,high
The Avenue Cafe,Metallica,Stern,2013,stern--metallica--2013,metallica,metallica,GRBE4,GRBE4-MQK1Z,True,True,True,False,False,True,stern--metallica--2013-playfield_700.webp,metallica_700.webp,GRBE4-playfield_700.webp,stern--metallica--2013-rulesheet.md,metallica-rulesheet.md,GRBE4-rulesheet.md,,/pinball/images/playfields/GRBE4-playfield.jpg,high
The Avenue Cafe,Monster Bash,Williams,1998,williams--monster-bash--1998,monster-bash,monster-bash,Gr3EW,Gr3EW-MD3Nj,True,True,True,False,False,True,williams--monster-bash--1998-playfield_700.webp,monster-bash_700.webp,Gr3EW-playfield_700.webp,williams--monster-bash--1998-rulesheet.md,monster-bash-rulesheet.md,Gr3EW-rulesheet.md,,/pinball/images/playfields/Gr3EW-playfield.jpg,high
The Avenue Cafe,Pulp Fiction,CGC,2024,cgc--pulp-fiction--2024,pulp-fiction,pulp-fiction,GoEkx,GoEkx-MdEzN,True,True,True,False,False,True,cgc--pulp-fiction--2024-playfield_700.webp,pulp-fiction_700.webp,GoEkx-playfield_700.webp,cgc--pulp-fiction--2024-rulesheet.md,pulp-fiction-rulesheet.md,GoEkx-rulesheet.md,,/pinball/images/playfields/GoEkx-playfield.jpg,high
The Avenue Cafe,Rush,Stern,2022,stern--rush--2022,rush,rush,G2Lkd,G2Lkd-M0ope,True,True,True,False,False,True,stern--rush--2022-playfield_700.webp,rush_700.webp,G2Lkd-playfield_700.webp,stern--rush--2022-rulesheet.md,rush-rulesheet.md,G2Lkd-rulesheet.md,,/pinball/images/playfields/G2Lkd-playfield.jpg,high
The Avenue Cafe,Scared Stiff,Bally,1996,bally--scared-stiff--1996,scared-stiff,scared-stiff,G4xbP,G4xbP-Mp45Y,True,True,True,False,False,True,bally--scared-stiff--1996-playfield_700.webp,scared-stiff_700.webp,G4xbP-playfield_700.webp,bally--scared-stiff--1996-rulesheet.md,scared-stiff-rulesheet.md,G4xbP-rulesheet.md,,/pinball/images/playfields/G4xbP-playfield.jpg,high
The Avenue Cafe,Star Trek,Stern,2013,stern--star-trek--2013,star-trek,star-trek,Gryw4,Gryw4-MNEKn,True,True,True,False,False,True,stern--star-trek--2013-playfield_700.webp,star-trek_700.webp,Gryw4-playfield_700.webp,stern--star-trek--2013-rulesheet.md,star-trek-rulesheet.md,Gryw4-rulesheet.md,,/pinball/images/playfields/Gryw4-playfield.jpg,high
The Avenue Cafe,Star Wars,Stern,2017,stern--star-wars--2017,star-wars,star-wars,G5vLR,G5vLR-MwNwy,True,True,True,False,False,True,stern--star-wars--2017-playfield_700.webp,star-wars_700.webp,G5vLR-playfield_700.webp,stern--star-wars--2017-rulesheet.md,star-wars-rulesheet.md,G5vLR-rulesheet.md,,/pinball/images/playfields/G5vLR-playfield.png,high
The Avenue Cafe,Star Wars: Fall of the Empire,Stern,2025,stern--star-wars-fall-of-the-empire--2025,star-wars-fall-of-the-empire,star-wars-fall-of-the-empire,Gxv81,Gxv81-Mo1rp,True,True,True,False,False,True,stern--star-wars-fall-of-the-empire--2025-playfield_700.webp,star-wars-fall-of-the-empire_700.webp,Gxv81-playfield_700.webp,stern--star-wars-fall-of-the-empire--2025-rulesheet.md,star-wars-fall-of-the-empire-rulesheet.md,Gxv81-rulesheet.md,,/pinball/images/playfields/Gxv81-playfield.jpg,high
